"filename", "language", "Batch", "JSON", "CSS", "XML", "HTML", "JavaScript", "Markdown", "C#", "Properties", "Shell Script", "comment", "blank", "total"
"z:\mDB\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\Esports_Projects\Attendance_Attendance.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"z:\mDB\Esports_Projects\Attendance_Home.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"z:\mDB\Esports_Projects\Attendance_Logger.html", "HTML", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 100
"z:\mDB\Esports_Projects\Attendance_Make_Player.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 4, 76
"z:\mDB\Esports_Projects\Attendance_Players.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"z:\mDB\Esports_Projects\Attendance_Winrate.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"z:\mDB\Esports_Projects\Esports_Bot_Doc.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"z:\mDB\Esports_Projects\Esports_Index.js", "JavaScript", 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 102, 76, 478
"z:\mDB\Esports_Projects\La_Cueva_Esports_Logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Esports_Projects\LoadAttendance.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 9, 60
"z:\mDB\Esports_Projects\Load_Players.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 16, 80
"z:\mDB\Esports_Projects\Make_Player.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 10, 53
"z:\mDB\Esports_Projects\Modules\CollatePlayerAndGetLinkToken.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"z:\mDB\Esports_Projects\Modules\GetAttendance.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"z:\mDB\Esports_Projects\Modules\GetGames.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"z:\mDB\Esports_Projects\Modules\GetMatches.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 1, 10
"z:\mDB\Esports_Projects\Modules\GetMaxMatches.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"z:\mDB\Esports_Projects\Modules\GetPlayerDiscordIDsAsMessage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"z:\mDB\Esports_Projects\Modules\GetPlayers.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"z:\mDB\Esports_Projects\Modules\GetPlayersByNameAndFile.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 4, 22
"z:\mDB\Esports_Projects\Modules\GetPlayersCSV.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 14, 14, 71
"z:\mDB\Esports_Projects\Modules\GetPlayersWithGame.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"z:\mDB\Esports_Projects\Modules\GetPlayersWithGameByNameAndFile.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"z:\mDB\Esports_Projects\Modules\GetRegistrationStatus.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 3, 21
"z:\mDB\Esports_Projects\Modules\GetReliability.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"z:\mDB\Esports_Projects\Modules\GetSummary.js", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 6, 31
"z:\mDB\Esports_Projects\Modules\GetWinrate.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 2, 14
"z:\mDB\Esports_Projects\Post_Modules\LogMatch.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 17, 12, 70
"z:\mDB\Esports_Projects\SetDropDown.js", "JavaScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 19, 36, 182
"z:\mDB\Esports_Projects\index.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"z:\mDB\Esports_Projects\index.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"z:\mDB\Esports_Projects\logger.js", "JavaScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 9, 32, 212
"z:\mDB\Esports_Projects\topnav.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"z:\mDB\FTP\4.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\AI\AI_Index.js", "JavaScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 19, 18, 105
"z:\mDB\FTP\AI\Garlic_Bread.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 37
"z:\mDB\FTP\AI\Mashed_Potatoes.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 37
"z:\mDB\FTP\AI\Modules\GetAbyssOrangeMix2Files.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetAnythingV3Files.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetCompoments.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"z:\mDB\FTP\AI\Modules\GetNovelAIFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetPrompts.js", "JavaScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 10, 65
"z:\mDB\FTP\AI\Modules\GetRandomGarlicBread.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 1, 16
